,EnrollMent,Name,Gender,Contact Number,City,OS,DMATHS,OOPJ,PEM,COA
47,1.8028E+11,jaipal,m,132-316-9891,Bhuj,60,68,70,68,62
48,1.8028E+11,mohamad awar,m,859-380-7310,Gandhinagar,63,70,61,63,69
49,1.8028E+11,tanveer,m,398-161-6605,Bhavnagar,66,65,61,60,67
50,1.8028E+11,harishen @ munna,m,606-685-2068,Rajkot,65,69,62,66,69
51,1.8028E+11,ajay,m,833-136-2528,Bhavnagar,61,60,68,69,61
52,1.8028E+11,ajay,m,265-218-0441,Amreli,70,61,65,69,66
53,1.8028E+11,phool kuwar @ mangal singh,m,461-747-4205,Ahmedabad,67,63,63,62,64
54,1.8028E+11,kaluram saini,m,374-713-9878,Gandhinagar,69,65,68,66,60
55,1.8028E+11,pawan kumar,m,738-523-8787,Bhuj,65,68,67,60,70
56,1.8028E+11,sunil,m,791-703-0604,Gandhinagar,70,62,65,66,61
57,1.8028E+11,aryan,m,472-394-3547,Bhuj,65,62,60,70,69
58,1.8028E+11,salim,m,852-483-9388,Surat,67,68,66,70,60
59,1.8028E+11,satan choudhary,m,773-847-8928,Bhavnagar,66,66,63,66,63
60,1.8028E+11,raju singh,m,959-513-5781,Rajkot,63,61,68,64,66
61,1.8028E+11,prmod paswan,m,657-333-7264,Rajkot,64,62,63,68,62
62,1.8028E+11,shri gyan chnad,m,350-174-8126,Bhavnagar,70,62,64,67,63
63,1.8028E+11,nasim,m,354-725-2867,Vadodara,70,64,60,64,63
64,1.8028E+11,sajid ali,m,312-877-5470,Bhuj,67,66,67,62,63
65,1.8028E+11,nadir,m,743-705-2655,Bhavnagar,63,65,64,68,67
66,1.8028E+11,sanjeev,m,886-618-4004,Ahmedabad,69,67,60,60,62
67,1.8028E+11,deepak @ lucky,m,565-397-6223,Rajkot,64,61,65,62,70
68,1.8028E+11,saddam,m,865-478-3645,Rajkot,70,64,62,69,66
69,1.8028E+11,mustak ahmed,m,504-296-3803,Gandhinagar,70,63,67,65,69
70,1.8028E+11,kunj bihari,m,206-349-3786,Rajkot,64,62,68,70,65
71,1.8028E+11,tushar bansal,m,566-624-1412,Amreli,67,63,66,65,63
72,1.8028E+11,mukesh kumar,m,530-843-0895,Vadodara,69,61,67,61,66
73,1.8028E+11,vijendar,m,657-451-0073,Amreli,69,63,65,63,67
74,1.8028E+11,bhojaram,m,618-059-2085,Surat,60,60,62,65,65
75,1.8028E+11,nitesh,m,662-011-5264,Vadodara,65,61,63,61,67
76,1.8028E+11,lakh ram,m,646-289-1148,Rajkot,67,67,69,63,68
77,1.8028E+11,sukhbeer singh,m,524-176-6217,Rajkot,68,68,70,61,60
78,1.8028E+11,dinesh kumar,m,658-858-8735,Gandhinagar,66,66,63,66,63
79,1.8028E+11,kiran kumar,m,483-166-4168,Surat,61,66,69,63,68
80,1.8028E+11,rishabh kumar,m,956-052-1749,Bhuj,62,63,65,61,70
81,1.8028E+11,sukhavinder singh,m,389-750-5163,Bhuj,70,61,63,65,67
82,1.8028E+11,jai bhagwan,m,694-153-3849,Ahmedabad,62,67,63,66,60
83,1.8028E+11,suresh chand,m,843-374-2610,Rajkot,68,67,70,69,65
84,1.8028E+11,govind,m,363-212-7620,Bhuj,68,63,64,65,67
85,1.8028E+11,heera lal,m,481-826-4086,Bhavnagar,60,61,68,67,63
86,1.8028E+11,jai kumar,m,751-478-2134,Bhuj,65,64,61,66,64
87,1.8028E+11,rajkumar,m,515-732-8623,Ahmedabad,68,62,66,64,65
88,1.8028E+11,sunil kumar @ bunty,m,593-528-7044,Rajkot,63,70,60,66,61
89,1.8028E+11,selva raj,m,912-864-2117,Amreli,69,64,68,60,66
90,1.8028E+11,amar nath,m,751-120-2666,Surat,65,65,70,69,67
91,1.8028E+11,majid ansari,m,250-554-7058,Bhuj,69,67,60,61,69
92,1.8028E+11,sugai vishwas,m,322-780-9052,Surat,65,65,60,61,69
93,1.8028E+11,nishant,m,963-141-2240,Surat,63,67,62,64,65
94,1.8028E+11,taufik alam,m,773-077-2053,Gandhinagar,64,70,63,61,62
95,1.8028E+11,rohit,m,506-289-8498,Gandhinagar,63,64,70,70,69
96,1.8028E+11,rajesh,m,985-683-4728,Amreli,64,64,62,64,64
97,1.8028E+11,om prakash,m,115-842-7600,Bhuj,70,65,66,68,60
98,1.8028E+11,amit,m,155-617-5929,Surat,69,63,62,60,64
99,1.8028E+11,prahlad,m,917-231-2517,Surat,67,66,65,60,60
100,1.8028E+11,munder lal,m,473-712-0860,Rajkot,51,18,34,22,24
101,1.8028E+11,harender,m,782-516-0956,Ahmedabad,25,44,33,69,40
102,1.8028E+11,bhura khan,m,616-790-0983,Surat,56,37,61,68,48
103,1.8028E+11,priti,m,556-140-8850,Rajkot,32,38,65,23,29
104,1.8028E+11,sandeep,m,828-079-6229,Rajkot,70,22,64,15,69
105,1.8028E+11,gaurav,m,746-182-1259,Vadodara,52,32,60,47,29
106,1.8028E+11,ramesh chand tirvedi,m,693-467-3918,Surat,49,58,44,28,29
107,1.8028E+11,akash lal,m,194-139-2090,Bhuj,66,31,65,39,69
108,1.8028E+11,"tek chand s/o nanu ram r/o h.no.105, 3rd floor, pk",m,745-502-0580,Bhuj,48,46,49,70,35
109,1.8028E+11,sh. bharu singh,m,447-601-5935,Rajkot,19,17,16,24,16
110,1.8028E+11,sehnawaj,m,621-650-9554,Bhavnagar,65,46,59,23,63
111,1.8028E+11,mandu ram,m,156-107-9811,Ahmedabad,33,69,65,39,40
112,1.8028E+11,kamaldeep,m,948-611-7894,Rajkot,28,28,65,23,30
113,1.8028E+11,sarabjeet singh,m,219-624-6261,Vadodara,26,28,19,15,64
114,1.8028E+11,luv kumar @ tony,m,357-017-9166,Rajkot,45,59,46,54,44
115,1.8028E+11,lakshya sharma,m,933-822-7767,Ahmedabad,26,64,65,68,36
116,1.8028E+11,jahgeer,m,284-430-7914,Rajkot,41,17,58,70,56
117,1.8028E+11,vijay,m,379-269-7703,Surat,24,49,61,46,40
118,1.8028E+11,sunil kumar,m,957-585-9019,Gandhinagar,43,51,31,17,54
119,1.8028E+11,nishant,m,378-713-4361,Amreli,43,58,58,69,33
120,1.8028E+11,rajesh kumar,m,499-789-5984,Bhuj,67,52,29,45,29
121,1.8028E+11,vivek,m,614-799-9696,Ahmedabad,33,38,32,27,56
122,1.8028E+11,sanjay handda,m,686-344-6167,Bhavnagar,68,20,46,42,54
123,1.8028E+11,aaenab sheikh,m,343-541-7311,Surat,34,44,28,44,65
124,1.8028E+11,vikash mirdha,m,218-438-2591,Rajkot,45,53,36,27,62
125,1.8028E+11,nitin gupta,m,142-245-0104,Bhavnagar,17,70,25,58,20
126,1.8028E+11,mohad islam,m,186-502-7488,Bhavnagar,58,60,50,27,67
127,1.8028E+11,matadeen,m,842-734-6191,Vadodara,57,42,41,60,33
128,1.8028E+11,irshad @ sameer,m,142-295-8708,Vadodara,43,69,49,48,64
129,1.8028E+11,lali,m,639-493-7340,Surat,62,64,25,54,16
130,1.8028E+11,ram lal,m,716-532-1174,Amreli,48,38,47,52,64
131,1.8028E+11,lehru lal,m,999-471-7186,Bhavnagar,59,23,19,63,44
132,1.8028E+11,newal kishor,m,787-427-1442,Bhavnagar,39,31,15,61,27
133,1.8028E+11,ravindr,m,525-389-8764,Bhuj,46,16,24,28,57
134,1.8028E+11,ravindra singh kandari,m,711-126-4178,Surat,67,25,68,50,22
135,1.8028E+11,pawan jangir,m,277-452-4441,Ahmedabad,66,37,34,55,58
136,1.8028E+11,surendra,m,118-091-1238,Rajkot,62,40,47,68,34
137,1.8028E+11,tinku,m,140-028-0915,Bhavnagar,54,17,58,67,62
138,1.8028E+11,rati pal,m,416-744-3628,Bhavnagar,65,53,62,47,21
139,1.8028E+11,jisaan,m,759-192-1893,Bhavnagar,43,21,50,22,26
140,1.8028E+11,atul jalan,m,942-799-5372,Gandhinagar,61,23,19,40,68
141,1.8028E+11,anil kumar,m,830-666-8275,Rajkot,56,61,16,28,24
142,1.8028E+11,mnoj sethi,m,286-488-5724,Rajkot,17,40,64,19,45
143,1.8028E+11,sunil garg,m,861-729-9643,Ahmedabad,63,57,43,68,67
144,1.8028E+11,mukesh,m,860-169-4366,Amreli,30,39,57,38,40
145,1.8028E+11,hansraj,m,812-440-7436,Amreli,52,41,46,57,42
146,1.8028E+11,anoop singh patwal,m,709-582-5422,Amreli,24,20,40,39,20
147,1.8028E+11,ashish yadav,m,527-387-2620,Rajkot,60,60,31,63,66
148,1.8028E+11,aaftab aslam,m,922-108-2452,Amreli,58,19,23,25,57
149,1.8028E+11,amrit,m,253-632-0389,Surat,29,39,27,46,27
150,1.8028E+11,arman,m,371-032-8670,Gandhinagar,45,52,28,59,41
151,1.8028E+11,constable  sanjai kumar,m,886-220-6133,Bhuj,50,41,50,28,47
152,1.8028E+11,ameer divan,m,710-600-5407,Amreli,59,29,17,62,43
153,1.8028E+11,jawed ahmad,m,810-714-4452,Vadodara,48,61,70,58,20
154,1.8028E+11,nitin  or rohit,m,922-295-0596,Bhuj,31,31,41,21,16
155,1.8028E+11,gopiram atal,m,595-683-7821,Gandhinagar,68,58,27,33,49
156,1.8028E+11,vikash pandy,m,550-073-2654,Vadodara,34,49,29,24,60
157,1.8028E+11,bilal,m,844-783-0285,Surat,15,61,26,43,15
158,1.8028E+11,ramesh babu,m,849-611-5167,Bhavnagar,18,64,65,31,38
159,1.8028E+11,naresh semwal,m,676-746-6522,Amreli,59,30,67,34,53
160,1.8028E+11,joholal soren,m,771-130-6414,Bhavnagar,34,33,59,42,23
161,1.8028E+11,akansh anand,m,109-683-9884,Amreli,60,33,36,57,30
162,1.8028E+11,harsh singh bisht,m,763-725-5656,Bhuj,46,49,36,30,55
163,1.8028E+11,sonu kumar,m,801-827-5090,Bhuj,22,66,33,19,21
164,1.8028E+11,suraj,m,936-820-1241,Surat,34,17,25,42,22
165,1.8028E+11,kishan yadav,m,741-203-2622,Ahmedabad,58,39,31,36,61
166,1.8028E+11,rakesh  gupta,m,141-472-7962,Amreli,66,55,22,15,50
167,1.8028E+11,pushpendr,m,341-635-7849,Surat,62,48,58,22,65
168,1.8028E+11,raj karan,m,734-883-5684,Bhavnagar,43,58,19,46,40
169,1.8028E+11,chettan,m,137-722-6559,Bhuj,51,65,67,50,33
170,1.8028E+11,pavan kumar sharma,m,367-527-6926,Bhavnagar,18,31,29,48,17
171,1.8028E+11,sukhdev singh,m,446-479-3945,Surat,33,57,16,25,54
172,1.8028E+11,sudhir kumar,m,729-404-6408,Gandhinagar,44,63,68,62,42
173,1.8028E+11,shubham,m,490-703-1831,Gandhinagar,47,59,39,66,32
174,1.8028E+11,shiv charan,m,710-124-4630,Ahmedabad,38,62,46,39,46
175,1.8028E+11,katwa,m,156-283-1764,Surat,15,24,21,34,46
176,1.8028E+11,sukhbir singh,m,588-508-9228,Bhavnagar,32,28,28,45,53
177,1.8028E+11,monu,m,637-095-5806,Rajkot,58,43,45,18,22
178,1.8028E+11,sonu pandey,m,270-358-7786,Vadodara,27,47,20,16,46
179,1.8028E+11,anash,m,826-511-5980,Bhavnagar,26,26,15,16,21
180,1.8028E+11,yogendr,m,130-190-7850,Bhuj,51,37,32,68,39
181,1.8028E+11,riyajudin,m,421-608-7733,Surat,63,42,31,68,41
182,1.8028E+11,pawan kumar,m,643-403-4398,Bhavnagar,32,17,60,57,32
183,1.8028E+11,shyam kishn,m,782-464-3502,Bhuj,43,41,17,54,48
184,1.8028E+11,raju,m,491-514-6317,Vadodara,17,32,54,47,15
185,1.8028E+11,ravi kumar,m,545-398-3270,Surat,38,27,42,55,56
186,1.8028E+11,himanshu,m,199-075-9620,Bhuj,26,17,61,19,59
187,1.8028E+11,mohd. aslam,m,378-610-7252,Surat,46,15,58,41,28
188,1.8028E+11,vicky @ gaggi,m,751-483-7036,Bhuj,39,47,26,66,67
189,1.8028E+11,rajeev,m,210-739-6848,Bhuj,17,39,63,53,58
190,1.8028E+11,firoj,m,737-557-7601,Bhuj,24,55,29,38,19
191,1.8028E+11,deepak,m,639-849-8391,Amreli,58,45,38,15,42
192,1.8028E+11,charan singh,m,460-400-3669,Surat,44,31,29,56,57
193,1.8028E+11,aftab,m,776-303-8629,Ahmedabad,52,64,54,59,31
194,1.8028E+11,akash,m,994-540-8404,Rajkot,51,50,30,57,36
195,1.8028E+11,rahul sharma,m,175-043-1902,Bhuj,69,63,45,25,33
196,1.8028E+11,ajay,m,422-421-8123,Bhavnagar,61,67,42,16,66
197,1.8028E+11,prem kumar,m,874-612-0316,Gandhinagar,37,19,61,36,46
198,1.8028E+11,sukar yadav,m,874-244-4396,Gandhinagar,34,54,28,48,43
199,1.8028E+11,fida hussain @monu,m,515-052-4989,Amreli,23,49,41,65,58
200,1.8028E+11,mohd zaid,m,599-597-7044,Bhuj,45,48,19,34,68
201,1.8028E+11,govind bari @ goma,m,178-746-1120,Amreli,23,18,42,39,44
202,1.8028E+11,parbhudayal,m,300-234-3320,Ahmedabad,49,25,66,22,29
203,1.8028E+11,prince verma,m,896-264-0360,Rajkot,44,57,69,46,40
204,1.8028E+11,ujir khan,m,231-777-4427,Surat,37,37,63,37,33
205,1.8028E+11,akash gupta,m,952-754-5530,Ahmedabad,50,33,70,56,66
206,1.8028E+11,neeraj singh,m,768-042-3512,Vadodara,32,32,34,70,18
207,1.8028E+11,kumari archana chauhan,m,488-430-2168,Bhuj,60,43,17,37,24
208,1.8028E+11,ram bhajan,m,516-831-9049,Gandhinagar,67,40,59,54,31
209,1.8028E+11,raju gupta,m,878-222-5394,Bhuj,20,62,43,61,61
210,1.8028E+11,mandeep kumar,m,788-674-3282,Bhavnagar,25,40,39,18,31
211,1.8028E+11,inderjeet @ munna,m,107-678-9575,Bhuj,16,65,58,24,15
212,1.8028E+11,ashu,m,999-734-2850,Bhavnagar,65,33,65,61,56
213,1.8028E+11,prakesh gupta,m,948-668-5240,Ahmedabad,41,36,31,36,66
214,1.8028E+11,sandeep,m,611-846-1385,Amreli,62,64,40,67,24
215,1.8028E+11,ashok kumar,m,220-850-0350,Bhuj,33,16,33,34,19
216,1.8028E+11,mool chand,m,949-705-3928,Rajkot,33,20,15,46,50
217,1.8028E+11,harender singh,m,493-582-2663,Vadodara,52,21,41,20,25
218,1.8028E+11,vinod kumar,m,470-186-3963,Gandhinagar,18,55,21,45,39
219,1.8028E+11,momin kureshi,m,164-717-6508,Bhuj,48,67,48,50,35
220,1.8028E+11,mamraj sharma s/o genda lal sharma,m,177-564-3367,Rajkot,27,40,55,18,31
221,1.8028E+11,rakesh sharma,m,907-645-3762,Gandhinagar,28,42,63,47,35
222,1.8028E+11,ramkumari devi,m,902-841-9088,Vadodara,60,39,21,24,57
223,1.8028E+11,durganand,m,942-810-4987,Bhavnagar,46,64,65,39,60
224,1.8028E+11,rajat kumar,m,678-207-3384,Gandhinagar,63,45,23,35,64
225,1.8028E+11,md aariv,m,647-250-6862,Bhavnagar,30,25,31,36,37
226,1.8028E+11,wasim,m,437-037-0103,Rajkot,52,68,66,67,30
227,1.8028E+11,ravinder,m,132-104-5046,Rajkot,27,47,61,28,53
228,1.8028E+11,wasim,m,533-400-2176,Surat,70,57,56,52,52
229,1.8028E+11,satish,m,541-051-7463,Gandhinagar,32,63,16,26,46
230,1.8028E+11,mohit,m,141-299-2157,Bhuj,33,17,65,46,34
231,1.8028E+11,yeshpal,m,644-594-6641,Bhavnagar,15,60,20,48,67
232,1.8028E+11,bhauk tyagi,m,195-215-0478,Surat,29,25,62,16,23
233,1.8028E+11,manish kumar,m,727-500-0356,Vadodara,26,48,24,29,27
234,1.8028E+11,sunil,m,400-399-6571,Surat,58,18,20,49,60
235,1.8028E+11,shyam sunder,m,532-571-9912,Amreli,64,41,24,58,68
236,1.8028E+11,ravi,m,642-072-4021,Amreli,39,64,19,37,29
237,1.8028E+11,ramesh ram,m,594-627-1434,Bhuj,58,47,49,45,19
238,1.8028E+11,sunil uref gouradhan jat,m,596-683-1751,Ahmedabad,26,52,66,33,27
239,1.8028E+11,sachin kumar sharma,m,670-491-6193,Bhavnagar,28,40,67,64,46
240,1.8028E+11,shashi pandit,m,647-371-6115,Rajkot,62,31,59,61,27
241,1.8028E+11,pankaj kumar,m,894-641-3644,Bhavnagar,63,26,51,45,21
242,1.8028E+11,rehaan,m,152-858-8173,Ahmedabad,38,45,29,30,56
243,1.8028E+11,ashok,m,713-170-3292,Amreli,46,40,69,61,58
244,1.8028E+11,parveen,m,781-480-6362,Bhavnagar,67,34,69,69,39
245,1.8028E+11,mangol jao singh,m,553-860-1033,Vadodara,69,28,27,68,22
246,1.8028E+11,rai singh,m,158-888-6679,Bhuj,62,70,48,58,60
247,1.8028E+11,suraj kumar,m,334-209-3379,Bhuj,39,51,22,46,47
248,1.8028E+11,kishan kumar,m,927-060-7520,Bhavnagar,56,19,21,29,60
249,1.8028E+11,arif hussain,m,967-813-8331,Amreli,46,35,54,47,41
250,1.8028E+11,yash,m,907-597-6775,Rajkot,20,29,37,39,60
251,1.8028E+11,vijay singhal,m,583-864-1215,Gandhinagar,66,16,62,39,57
252,1.8028E+11,akil@sonu,m,927-172-8378,Rajkot,55,38,27,62,22
253,1.8028E+11,rahul,m,767-729-7122,Gandhinagar,25,19,37,30,19
254,1.8028E+11,rahul sharma,m,685-619-7336,Rajkot,70,17,35,36,18
255,1.8028E+11,vijay kumar,m,946-802-7414,Gandhinagar,25,59,27,48,65
256,1.8028E+11,ashok pal,m,128-821-3172,Amreli,49,45,42,15,67
257,1.8028E+11,vikas kumar,m,554-792-4459,Bhavnagar,70,18,59,41,16
258,1.8028E+11,jabir,m,154-373-8925,Vadodara,39,64,45,54,63
259,1.8028E+11,sajju,m,631-089-4072,Bhuj,56,50,53,61,21
260,1.8028E+11,amit kumar @ mona,m,373-887-2306,Rajkot,17,35,56,58,36
261,1.8028E+11,manoj kumar,m,827-516-7880,Bhavnagar,26,24,48,58,38
262,1.8028E+11,pappu,m,438-281-1984,Gandhinagar,42,16,43,18,53
263,1.8028E+11,golu,m,446-672-8194,Amreli,53,25,68,31,27
264,1.8028E+11,sachin,m,797-658-7909,Gandhinagar,38,26,42,43,64
265,1.8028E+11,raj kumar,m,401-511-7111,Rajkot,57,20,57,27,70
266,1.8028E+11,tej pal singh,m,797-171-1740,Vadodara,37,36,66,69,44
267,1.8028E+11,ankit,m,630-471-0720,Surat,27,67,33,29,66
268,1.8028E+11,kundan singh,m,775-628-6442,Ahmedabad,27,63,66,24,51
269,1.8028E+11,ashish kumar,m,899-278-4634,Ahmedabad,46,27,59,48,61
270,1.8028E+11,bhopal,m,608-515-0369,Rajkot,46,63,50,31,67
271,1.8028E+11,yogendra,m,388-689-0133,Surat,33,68,25,42,35
272,1.8028E+11,rajend,m,762-139-5576,Bhavnagar,26,38,37,21,65
273,1.8028E+11,parveen,m,602-860-3089,Bhavnagar,63,52,26,18,31
274,1.8028E+11,sumender pradhan,m,357-667-9767,Amreli,20,23,16,23,42
275,1.8028E+11,subham,m,135-729-3600,Gandhinagar,53,39,46,63,57
276,1.8028E+11,rameshwar kumar,m,558-096-2508,Vadodara,30,26,31,35,54
277,1.8028E+11,neeraj,m,800-339-4416,Surat,69,40,69,46,40
278,1.8028E+11,bal kishan @ bunty,m,747-133-9366,Gandhinagar,38,39,56,48,56
279,1.8028E+11,anish,m,912-698-8731,Gandhinagar,59,64,41,46,37
280,1.8028E+11,banty,m,589-142-3833,Rajkot,63,46,22,42,21
281,1.8028E+11,sunil chauhan,m,346-574-9156,Ahmedabad,50,57,22,17,17
282,1.8028E+11,rahul sharma,m,710-660-1112,Bhuj,18,35,61,21,36
283,1.8028E+11,sohail,m,978-529-7543,Ahmedabad,40,43,57,22,36
284,1.8028E+11,ijhar khan @ golu,m,303-152-4230,Bhavnagar,42,19,31,63,64
285,1.8028E+11,shadab ali,m,314-601-7943,Bhavnagar,54,48,21,46,35
286,1.8028E+11,ashok pandey,m,367-634-3990,Vadodara,54,15,25,36,66
287,1.8028E+11,suraj,m,381-862-3573,Vadodara,66,64,21,55,69
288,1.8028E+11,deepak,m,155-380-0630,Bhuj,57,37,48,18,50
289,1.8028E+11,md. asif @ sahil @ ashu,m,719-419-1779,Bhuj,70,64,32,47,35
290,1.8028E+11,abdul hamid,m,686-730-8721,Amreli,34,58,56,27,57
291,1.8028E+11,suraj hajara,m,223-876-6802,Vadodara,63,41,33,34,51
292,1.8028E+11,virender,m,171-408-2562,Vadodara,57,25,40,34,43
293,1.8028E+11,bijender,m,158-260-2486,Bhavnagar,30,16,21,64,18
294,1.8028E+11,subodh,m,160-821-1603,Rajkot,52,68,51,20,43
295,1.8028E+11,chander shekar,m,313-184-1632,Amreli,16,17,68,33,34
296,1.8028E+11,pawan,m,244-092-5806,Rajkot,32,70,42,54,20
297,1.8028E+11,chotan,m,399-552-0769,Surat,24,19,37,24,37
298,1.8028E+11,babul al,m,158-286-2664,Bhuj,20,61,67,46,62
299,1.8028E+11,deepak,m,460-691-7226,Ahmedabad,34,18,16,27,20
300,1.8028E+11,deepak,m,451-399-5481,Amreli,16,63,58,28,62
301,1.8028E+11,omi,m,979-506-6419,Bhuj,45,17,56,47,38
302,1.8028E+11,ramesh,m,984-209-7642,Amreli,53,20,53,64,60
303,1.8028E+11,devraj,m,357-099-4447,Rajkot,24,28,46,23,19
304,1.8028E+11,nankesh,m,851-076-4800,Vadodara,17,47,19,69,21
305,1.8028E+11,salman,m,602-543-3389,Bhavnagar,66,64,60,40,70
306,1.8028E+11,jitender,m,361-126-7661,Bhavnagar,27,56,19,31,38
307,1.8028E+11,rajna,m,354-149-9482,Gandhinagar,44,34,27,26,65
308,1.8028E+11,dharm pal s/o nawal singh,m,946-601-1332,Bhuj,43,15,41,52,52
309,1.8028E+11,dinesh,m,780-390-2433,Rajkot,27,56,44,49,21
310,1.8028E+11,naulakh,m,781-385-7772,Bhavnagar,29,54,32,58,35
311,1.8028E+11,vikash arora,m,314-343-0175,Gandhinagar,69,17,41,61,42
312,1.8028E+11,faimuddin,m,991-358-6945,Surat,63,49,49,16,24
313,1.8028E+11,harbhajan singh,m,186-357-3276,Ahmedabad,39,65,54,51,62
314,1.8028E+11,mohd zaki,m,209-867-2426,Bhuj,43,68,15,51,17
315,1.8028E+11,rahim,m,212-618-9330,Surat,15,61,63,27,57
316,1.8028E+11,balbir singh,m,658-831-9608,Amreli,68,63,70,39,36
317,1.8028E+11,ashu,m,902-085-4274,Gandhinagar,45,31,44,32,60
318,1.8028E+11,hardeep,m,885-108-7010,Bhavnagar,35,42,43,41,69
319,1.8028E+11,sadod ali,m,876-008-1351,Vadodara,35,20,36,21,48
320,1.8028E+11,ram charan,m,908-435-1464,Vadodara,18,51,61,55,33
321,1.8028E+11,kirpa sankar,m,914-595-9408,Ahmedabad,45,68,60,22,29
322,1.8028E+11,hukma ram,m,702-212-1231,Bhavnagar,16,21,29,40,32
323,1.8028E+11,anil @ arvind,m,298-490-6123,Vadodara,27,17,20,40,60
324,1.8028E+11,nrotam dat,m,589-390-7871,Rajkot,23,57,69,22,38
325,1.8028E+11,surindera rajpal,m,672-627-0806,Bhavnagar,22,48,60,61,24
326,1.8028E+11,navnit garg,m,492-356-6903,Gandhinagar,66,54,31,20,35
327,1.8028E+11,sunil chopra,m,281-439-8723,Ahmedabad,52,17,63,70,49
328,1.8028E+11,sonu kumar,m,360-303-9994,Bhavnagar,69,54,70,39,53
329,1.8028E+11,sukhdev prasad,m,376-756-9463,Vadodara,27,67,24,43,59
330,1.8028E+11,amit kumar nagliya,m,452-345-5575,Bhuj,54,47,59,22,41
331,1.8028E+11,vishal chaudhary,m,900-559-9732,Bhuj,37,55,43,69,16
332,1.8028E+11,lokesh kumar,m,929-884-7410,Ahmedabad,35,33,16,21,23
333,1.8028E+11,inkoo,m,570-087-9638,Vadodara,15,50,50,62,67
